"canonical_artist","spotify_release_id","spotify_title","spotify_normalized_title","spotify_release_type","spotify_version","spotify_date","spotify_track_count","apple_collection_id","apple_title","apple_normalized_title","apple_release_type","apple_version","apple_date","apple_track_count","date_difference_days","track_title_overlap","artist_credit_compatible","match_state","match_reason","risk_flags"
"SampliFire","3jLewI3rO5Vu4je8lZzh2P","Heart On Fire","heart on fire","feature","","2026-06-24","1","6772337850","Heart on Fire - Single","heart on fire single","single","","2026-06-24","1","0","1","false","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title; credited appearance; incomplete or truncated Apple catalog; collection-level artist-credit incompatibility; identity mapping target-window-assisted"
"SampliFire","2Q2cvqX8SCeMryabwgc9dr","Riddim N Dabs","riddim n dabs","single","","2026-07-10","1","6780694863","Riddim N Dabs - Single","riddim n dabs single","single","","2026-07-10","1","0","1","true","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title; incomplete or truncated Apple catalog; identity mapping target-window-assisted"
"SampliFire","6z2P0rGPJr9nTevds8G80v","Fusion","fusion","single","","2026-07-24","1","6792773473","Fusion - Single","fusion single","single","","2026-07-24","1","0","0","true","ambiguous_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.; Another collection has the same evidence rank and date distance.","non-exact normalized title; incomplete or truncated Apple catalog; identity mapping target-window-assisted"
"SISTO","5ABKdqh5Ddc9e5Pfh2fDwT","MINDSPLITTER","mindsplitter","single","","2026-06-26","1","6778082568","MINDSPLITTER - Single","mindsplitter single","single","","2026-06-26","1","0","1","true","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title; identity mapping target-window-assisted"
"SISTO","08hZff0X2BbLPoLrulQpoH","FLESH PIT","flesh pit","single","","2026-07-09","1","6783108393","FLESH PIT - Single","flesh pit single","single","","2026-07-09","1","0","1","true","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title; identity mapping target-window-assisted"
"SISTO","0uLeChL1LLT5SP2UBoQhMd","CHOKEPOINT","chokepoint","single","","2026-07-17","1","6784185519","CHOKEPOINT - Single","chokepoint single","single","","2026-07-17","1","0","1","false","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title; collection-level artist-credit incompatibility; identity mapping target-window-assisted"
"SISTO","0sJNb6FqE30LRz95xBfaZ5","DEATHTOUCH","deathtouch","single","","2026-07-22","1","6788527462","DEATHTOUCH - Single","deathtouch single","single","","2026-07-22","1","0","1","true","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title; identity mapping target-window-assisted"
"SVDDEN DEATH","3dTEN5sgWDjoQYg52dKFX6","Nightshade","nightshade","single","","2026-06-05","1","6774158798","Nightshade - Single","nightshade single","single","","2026-06-05","1","0","1","true","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title; incomplete or truncated Apple catalog"
"SVDDEN DEATH","7oc7G22fXymfOliDL6kXMa","Dissent","dissent","single","","2026-07-24","1","6790961486","Dissent - Single","dissent single","single","","2026-07-24","1","0","1","true","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title; incomplete or truncated Apple catalog"
"Vibe Chemistry","1B2434Cr2Q9G09VJbkc8k0","What Can I Do","what can i do","single","","2026-06-19","1","6774240555","What Can I Do - Single","what can i do single","single","","2026-06-19","1","0","0","true","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title"
"Vibe Chemistry","1gBlPst817CPO8rXlPhoww","MYE Summer Mixtape 2026","mye summer mixtape 2026","feature","","2026-06-26","10","6774242263","Mye Summer Mixtape 2026","mye summer mixtape 2026","album","","2026-06-19","10","7","2","true","strong_probable_match","Normalized titles are identical.; Version markers are compatible.; Release dates differ by at most seven days.; Track counts agree.","date difference greater than one day; credited appearance"
"Vibe Chemistry","6SP9EeXnFj67Kw0I7R9Wiw","Mate","mate","feature","","2026-07-03","1","6782265441","Mate - Single","mate single","single","","2026-07-03","1","0","1","false","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title; credited appearance; collection-level artist-credit incompatibility"
"Vibe Chemistry","3dAN2CfniUb0keu79H1fAZ","Two Blueys","two blueys","feature","","2026-07-24","1","6789582391","Two Blueys - Single","two blueys single","single","","2026-07-24","1","0","1","false","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title; credited appearance; collection-level artist-credit incompatibility"
"Virus Syndicate","1XaywD0kxCL6V6Ipju9JWB","Leng Man","leng man","single","","2026-06-10","1","6771863533","Leng Man - Single","leng man single","single","","2026-06-10","1","0","1","true","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title; incomplete or truncated Apple catalog"
"Virus Syndicate","5EIY9fUDOnTPZeZaDoObYP","OH YEAH","oh yeah","feature","","2026-06-26","1","6772133583","OH YEAH - Single","oh yeah single","single","","2026-06-26","1","0","1","false","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title; credited appearance; incomplete or truncated Apple catalog; collection-level artist-credit incompatibility"
"Virus Syndicate","6iWKdGshyuqG8289LNUNue","Shellingham (WC Remix)","shellingham wc remix","feature","remix","2026-07-10","1","6786406587","Shellingham (WC Remix) - Single","shellingham wc remix single","remix","remix","2026-07-10","1","0","1","false","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title; credited appearance; incomplete or truncated Apple catalog; collection-level artist-credit incompatibility"
"William Black","1NHoBUiHVoOE38FV7pU16P","The Shadow Realm (Remixes)","the shadow realm remixes","remix","remix","2026-06-26","14","6781401724","The Shadow Realm (Remixes)","the shadow realm remixes","remix","remix","2026-06-26","14","0","14","true","exact_match","Normalized titles are identical.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","incomplete or truncated Apple catalog; identity mapping target-window-assisted"
"William Black","6uUmp5LDUJ1BV8ZEa7yV35","Flutters","flutters","single","","2026-07-24","1","6783976754","Flutters - Single","flutters single","single","","2026-07-24","1","0","1","false","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title; incomplete or truncated Apple catalog; collection-level artist-credit incompatibility; identity mapping target-window-assisted"
"YUSSI","5ttv6JuOqFCNKsSZbjU2L7","UNTAMED","untamed","album","","2026-06-05","12","6769479531","Untamed","untamed","album","","2026-06-05","12","0","11","true","exact_match","Normalized titles are identical.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","identity mapping target-window-assisted"
"YUSSI","2Hm5Nc4yrksH9q8KkAtbbV","Hold On","hold on","single","","2026-07-16","1","6780509494","Hold On - Single","hold on single","single","","2026-07-16","1","0","1","true","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title; identity mapping target-window-assisted"
"Zeds Dead","2suK6AyM6XGaWHo9hHqiMz","Return to the Return (of the Spectrum of Intergalactic Happiness)","return to the return of the spectrum of intergalactic happiness","album","","2026-06-30","14","6783526042","Return to the Return (of the Spectrum of Intergalactic Happiness)","return to the return of the spectrum of intergalactic happiness","album","","2026-06-30","14","0","13","true","exact_match","Normalized titles are identical.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","incomplete or truncated Apple catalog"
"ZHU","1mVGQwav0cuiDFeQfy1Dhp","BLACK MIDAS DLXZZZ","black midas dlxzzz","album","","2026-07-10","18","6783454968","BLACK MIDAS DLXZZZ","black midas dlxzzz","album","","2026-07-10","18","0","18","true","exact_match","Normalized titles are identical.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","identity mapping target-window-assisted"
